omega_rte4_bl_lt_pop,1,0.00530911,-0.0342832,-0.0190938,0.00729227,-0.0197088,-0.0222134,-0.0165618,8.73714e-11,0.0184922,0.00230721,-0.00568605,0.0106794
fi_n4_pop,0.00530911,1,0.0516441,-0.0708946,-0.254179,-0.0985951,-0.110189,-0.00997898,0.077301,0.0301981,0.0787524,0.0277182,0.0473653
omega_n4_lt_bl_pop,-0.0342832,0.0516441,1,0.496185,-0.0869167,-0.0190298,-0.0204396,-0.00952785,0.00851255,0.0106361,0.0133091,0.00581472,0.0123943
omega_n4_git_bl_pop,-0.0190938,-0.0708946,0.496185,1,-0.128146,-0.0614581,-0.0873726,0.435838,0.406927,-0.272628,0.159085,0.00740225,-0.159937
fi_a4_pop,0.00729227,-0.254179,-0.0869167,-0.128146,1,0.299133,0.458973,-0.127882,-0.749606,0.125713,-0.672491,-0.397129,-0.292965
omega_a4_lt_bl_pop,-0.0197088,-0.0985951,-0.0190298,-0.0614581,0.299133,1,0.220404,-0.0670223,-0.365186,0.0644984,-0.324898,-0.191163,-0.138609
omega_cm4_lt_bl_pop,-0.0222134,-0.110189,-0.0204396,-0.0873726,0.458973,0.220404,1,0.428396,-0.426861,0.082681,-0.350272,-0.204433,-0.139542
omega_cm4_git_bl_pop,-0.0165618,-0.00997898,-0.00952785,0.435838,-0.127882,-0.0670223,0.428396,1,0.352966,-0.236475,0.146638,0.0136197,-0.122977
fi_em4_pop,8.73691e-11,0.077301,0.00851255,0.406927,-0.749606,-0.365186,-0.426861,0.352966,1,-0.394107,0.607642,0.280991,0.115043
omega_em4_bl_git_pop,0.0184922,0.0301981,0.0106361,-0.272628,0.125713,0.0644984,0.082681,-0.236475,-0.394107,1,-0.147671,-0.0272244,0.0582622
m_eff4_pop,0.00230721,0.0787524,0.0133091,0.159085,-0.672491,-0.324898,-0.350272,0.146638,0.607642,-0.147671,1,0.746807,0.564644
omega_eff4_lt_bl_pop,-0.00568605,0.0277182,0.00581472,0.00740225,-0.397129,-0.191163,-0.204433,0.0136197,0.280991,-0.0272244,0.746807,1,0.163404
omega_eff4_bl_git_pop,0.0106794,0.0473653,0.0123943,-0.159937,-0.292965,-0.138609,-0.139542,-0.122977,0.115043,0.0582622,0.564644,0.163404,1
