parameter,value,CV,se_lin,rse_lin
m_rte4_pop,0.0076,,,
omega_rte4_bl_lt_pop,0.216827724742176,,0.0134656634423647,6.21030518969673
fi_rte4_pop,0.0012,,,
m_n4_pop,0.000457,,,
lambda_n4_pop,0.0007,,,
fi_n4_pop,0.00119949691976071,,1.21652086900419e-05,1.01419257437266
omega_n4_lt_bl_pop,1.64778532110733,,0.101080485889149,6.13432372496323
omega_n4_bl_lt_pop,40,,,
omega_n4_bl_git_pop,0.0003,,,
omega_n4_git_bl_pop,0.000749549010363268,,0.000139612088747852,18.6261454311292
lambda_a4_pop,1.725,,,
fi_a4_pop,1.7267842064417,,0.00206186303369205,0.11940478873969
m_a4_pop,0.04,,,
f4_pop,0.4,,,
omega_a4_lt_bl_pop,4.06311787008003,,0.413343972003269,10.1730736153891
omega_a4_bl_lt_pop,40,,,
lambda_cm4_pop,0.0391,,,
m_cm4_pop,0.041,,,
omega_cm4_lt_bl_pop,0.33368901042763,,0.0313476468638228,9.39427007909251
omega_cm4_bl_lt_pop,10,,,
omega_cm4_bl_git_pop,0.12,,,
omega_cm4_git_bl_pop,0.0896096888630334,,0.0174236847304276,19.4439741410768
fi_cm4_pop,0.111,,,
lambda_em4_pop,0.042,,,
m_em4_pop,0.11,,,
fi_em4_pop,0.0354613140244718,,0.0117102819130018,33.0226959579685
omega_em4_lt_bl_pop,0.035,,,
omega_em4_bl_git_pop,0.882003958111434,,0.105378843504335,11.947661066054
omega_em4_git_bl_pop,0.04,,,
m_eff4_pop,0.870432724888462,,0.105874518497408,12.1634349755146
omega_eff4_lt_bl_pop,0.252566439598552,,0.0582111327895457,23.047849461738
omega_eff4_bl_git_pop,0.0874978548967026,,0.0204011322336251,23.316151301892
T_A4_max_pop,10000000000000,,,
b1,0.06,,,
b2,0.06,,,
b3,0.09,,,
b4,0.08,,,
b5,0.1,,,
b6,0.15,,,
b9,0.01,,,
b7,0.01,,,
b11,0.06,,,
b12,0.06,,,
b13,0.11,,,
b14,0.07,,,
b15,0.14,,,
b16,0.06,,,
b17,0.09,,,
b18,0.12,,,
b19,0.13,,,
b20,0.13,,,
b21,0.11,,,
